name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,MGLT,starship_class,created,edited,url,Films,Pilots
CR90 corvette,CR90 corvette,Corellian Engineering Corporation,3500000,150,950,30-165,600,3000000,1 year,2.0,60,corvette,12/10/2014 14:20:33,12/20/2014 21:23:49,https://swapi.dev/api/starships/2/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/3/; https://swapi.dev/api/films/6/,
Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000,"1,600",975,"47,060",n/a,36000000,2 years,2.0,60,Star Destroyer,12/10/2014 15:08:19,12/20/2014 21:23:49,https://swapi.dev/api/starships/3/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
Sentinel-class landing craft,Sentinel-class landing craft,"Sienar Fleet Systems, Cyngus Spaceworks",240000,38,1000,5,75,180000,1 month,1.0,70,landing craft,12/10/2014 15:48:00,12/20/2014 21:23:49,https://swapi.dev/api/starships/5/,https://swapi.dev/api/films/1/,
Death Star,DS-1 Orbital Battle Station,"Imperial Department of Military Research, Sienar Fleet Systems",1000000000000,120000,n/a,"342,953","843,342",1000000000000,3 years,4.0,10,Deep Space Mobile Battlestation,12/10/2014 16:36:50,12/20/2014 21:26:24,https://swapi.dev/api/starships/9/,https://swapi.dev/api/films/1/,
Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000,34.37,1050,4,6,100000,2 months,0.5,75,Light freighter,12/10/2014 16:59:45,12/20/2014 21:23:49,https://swapi.dev/api/starships/10/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/people/13/; https://swapi.dev/api/people/14/; https://swapi.dev/api/people/25/; https://swapi.dev/api/people/31/
Y-wing,BTL Y-wing,Koensayr Manufacturing,134999,14,1000km,2,0,110,1 week,1.0,80,assault starfighter,12/12/2014 11:00:39,12/20/2014 21:23:49,https://swapi.dev/api/starships/11/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
X-wing,T-65 X-wing,Incom Corporation,149999,12.5,1050,1,0,110,1 week,1.0,100,Starfighter,12/12/2014 11:19:05,12/20/2014 21:23:49,https://swapi.dev/api/starships/12/,https://swapi.dev/api/films/1/; https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/people/1/; https://swapi.dev/api/people/9/; https://swapi.dev/api/people/18/; https://swapi.dev/api/people/19/
TIE Advanced x1,Twin Ion Engine Advanced x1,Sienar Fleet Systems,unknown,9.2,1200,1,0,150,5 days,1.0,105,Starfighter,12/12/2014 11:21:32,12/20/2014 21:23:49,https://swapi.dev/api/starships/13/,https://swapi.dev/api/films/1/,https://swapi.dev/api/people/4/
Executor,Executor-class star dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000,19000,n/a,"279,144",38000,250000000,6 years,2.0,40,Star dreadnought,12/15/2014 12:31:42,12/20/2014 21:23:49,https://swapi.dev/api/starships/15/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",unknown,90,650,6,90,19000000,6 months,4.0,20,Medium transport,12/15/2014 12:34:52,12/20/2014 21:23:49,https://swapi.dev/api/starships/17/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
Slave 1,Firespray-31-class patrol and attack,Kuat Systems Engineering,unknown,21.5,1000,1,6,70000,1 month,3.0,70,Patrol craft,12/15/2014 13:00:56,12/20/2014 21:23:49,https://swapi.dev/api/starships/21/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/5/,https://swapi.dev/api/people/22/
Imperial shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,240000,20,850,6,20,80000,2 months,1.0,50,Armed government transport,12/15/2014 13:04:47,12/20/2014 21:23:49,https://swapi.dev/api/starships/22/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,https://swapi.dev/api/people/1/; https://swapi.dev/api/people/13/; https://swapi.dev/api/people/14/
EF76 Nebulon-B escort frigate,EF76 Nebulon-B escort frigate,Kuat Drive Yards,8500000,300,800,854,75,6000000,2 years,2.0,40,Escort ship,12/15/2014 13:06:30,12/20/2014 21:23:49,https://swapi.dev/api/starships/23/,https://swapi.dev/api/films/2/; https://swapi.dev/api/films/3/,
Calamari Cruiser,MC80 Liberty type Star Cruiser,Mon Calamari shipyards,104000000,1200,n/a,5400,1200,unknown,2 years,1.0,60,Star Cruiser,12/18/2014 10:54:57,12/20/2014 21:23:49,https://swapi.dev/api/starships/27/,https://swapi.dev/api/films/3/,
A-wing,RZ-1 A-wing Interceptor,"Alliance Underground Engineering, Incom Corporation",175000,9.6,1300,1,0,40,1 week,1.0,120,Starfighter,12/18/2014 11:16:34,12/20/2014 21:23:49,https://swapi.dev/api/starships/28/,https://swapi.dev/api/films/3/,https://swapi.dev/api/people/29/
B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000,16.9,950,1,0,45,1 week,2.0,91,Assault Starfighter,12/18/2014 11:18:04,12/20/2014 21:23:49,https://swapi.dev/api/starships/29/,https://swapi.dev/api/films/3/,
Republic Cruiser,Consular-class cruiser,Corellian Engineering Corporation,unknown,115,900,9,16,unknown,unknown,2.0,unknown,Space cruiser,12/19/2014 17:01:31,12/20/2014 21:23:49,https://swapi.dev/api/starships/31/,https://swapi.dev/api/films/4/,
Droid control ship,Lucrehulk-class Droid Control Ship,"Hoersch-Kessel Drive, Inc.",unknown,3170,n/a,175,139000,4000000000,500 days,2.0,unknown,Droid control ship,12/19/2014 17:04:06,12/20/2014 21:23:49,https://swapi.dev/api/starships/32/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,
Naboo fighter,N-1 starfighter,Theed Palace Space Vessel Engineering Corps,200000,11,1100,1,0,65,7 days,1.0,unknown,Starfighter,12/19/2014 17:39:17,12/20/2014 21:23:49,https://swapi.dev/api/starships/39/,https://swapi.dev/api/films/4/; https://swapi.dev/api/films/5/,https://swapi.dev/api/people/11/; https://swapi.dev/api/people/35/; https://swapi.dev/api/people/60/
Naboo Royal Starship,J-type 327 Nubian royal starship,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",unknown,76,920,8,unknown,unknown,unknown,1.8,unknown,yacht,12/19/2014 17:45:03,12/20/2014 21:23:49,https://swapi.dev/api/starships/40/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/39/
Scimitar,Star Courier,Republic Sienar Systems,55000000,26.5,1180,1,6,2500000,30 days,1.5,unknown,Space Transport,12/20/2014 09:39:56,12/20/2014 21:23:49,https://swapi.dev/api/starships/41/,https://swapi.dev/api/films/4/,https://swapi.dev/api/people/44/
J-type diplomatic barge,J-type diplomatic barge,"Theed Palace Space Vessel Engineering Corps, Nubia Star Drives",2000000,39,2000,5,10,unknown,1 year,0.7,unknown,Diplomatic barge,12/20/2014 11:05:51,12/20/2014 21:23:49,https://swapi.dev/api/starships/43/,https://swapi.dev/api/films/5/,
AA-9 Coruscant freighter,Botajef AA-9 Freighter-Liner,Botajef Shipyards,unknown,390,unknown,unknown,30000,unknown,unknown,unknown,unknown,freighter,12/20/2014 17:24:23,12/20/2014 21:23:49,https://swapi.dev/api/starships/47/,https://swapi.dev/api/films/5/,
Jedi starfighter,Delta-7 Aethersprite-class interceptor,Kuat Systems Engineering,180000,8,1150,1,0,60,7 days,1.0,unknown,Starfighter,12/20/2014 17:35:23,12/20/2014 21:23:49,https://swapi.dev/api/starships/48/,https://swapi.dev/api/films/5/; https://swapi.dev/api/films/6/,https://swapi.dev/api/people/10/; https://swapi.dev/api/people/58/
H-type Nubian yacht,H-type Nubian yacht,Theed Palace Space Vessel Engineering Corps,unknown,47.9,8000,4,unknown,unknown,unknown,0.9,unknown,yacht,12/20/2014 17:46:46,12/20/2014 21:23:49,https://swapi.dev/api/starships/49/,https://swapi.dev/api/films/5/,https://swapi.dev/api/people/35/
Republic Assault ship,Acclamator I-class assault ship,Rothana Heavy Engineering,unknown,752,unknown,700,16000,11250000,2 years,0.6,unknown,assault ship,12/20/2014 18:08:42,12/20/2014 21:23:49,https://swapi.dev/api/starships/52/,https://swapi.dev/api/films/5/,
Solar Sailer,Punworcca 116-class interstellar sloop,Huppla Pasa Tisc Shipwrights Collective,35700,15.2,1600,3,11,240,7 days,1.5,unknown,yacht,12/20/2014 18:37:56,12/20/2014 21:23:49,https://swapi.dev/api/starships/58/,https://swapi.dev/api/films/5/,
Trade Federation cruiser,Providence-class carrier/destroyer,"Rendili StarDrive, Free Dac Volunteers Engineering corps.",125000000,1088,1050,600,48247,50000000,4 years,1.5,unknown,capital ship,12/20/2014 19:40:21,12/20/2014 21:23:49,https://swapi.dev/api/starships/59/,https://swapi.dev/api/films/6/,https://swapi.dev/api/people/10/; https://swapi.dev/api/people/11/
Theta-class T-2c shuttle,Theta-class T-2c shuttle,Cygnus Spaceworks,1000000,18.5,2000,5,16,50000,56 days,1.0,unknown,transport,12/20/2014 19:48:40,12/20/2014 21:23:49,https://swapi.dev/api/starships/61/,https://swapi.dev/api/films/6/,
Republic attack cruiser,Senator-class Star Destroyer,"Kuat Drive Yards, Allanteen Six shipyards",59000000,1137,975,7400,2000,20000000,2 years,1.0,unknown,star destroyer,12/20/2014 19:52:56,12/20/2014 21:23:49,https://swapi.dev/api/starships/63/,https://swapi.dev/api/films/6/,
